"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"fuente-osmenia.nlogox"
"experiment"
"05/29/2026 00:33:24:518 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","(mean) total-litter-events","(std) total-litter-events","(mean) bin-utilization-rate","(std) bin-utilization-rate","(mean) total-agents-spawned","(std) total-agents-spawned","(mean) ticks","(std) ticks"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","500","0","0","0","0","0","0","500","0"
"1","0","0","0","0","0","1000","0","0","0","0","0","0","1000","0"
"1","0","0","0","0","0","1500","0","0","0","0","0","0","1500","0"
"1","0","0","0","0","0","2000","0","0","0","0","0","0","2000","0"
"1","0","0","0","0","0","2500","0","0","0","0","0","0","2500","0"
"1","0","0","0","0","0","3000","0","0","0","0","0","0","3000","0"
"1","0","0","0","0","0","3500","0","0","0","0","0","0","3500","0"
"1","0","0","0","0","0","4000","0","0","0","0","0","0","4000","0"
"1","0","0","0","0","0","4500","0","0","0","0","0","0","4500","0"
"1","0","0","0","0","0","5000","0","0","0","0","0","0","5000","0"
"1","0","0","0","0","0","5500","0","0","0","0","0","0","5500","0"
"1","0","0","0","0","0","6000","0","0","0","0","0","0","6000","0"
"1","0","0","0","0","0","6500","0","0","0","0","0","0","6500","0"
"1","0","0","0","0","0","7000","0","0","0","0","0","0","7000","0"
"1","0","0","0","0","0","7500","0","0","0","0","0","0","7500","0"
"1","0","0","0","2.5","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","2.5","0","500","1.2666666666666666","1.3148721948877347","0.005555555555555556","0.004073021749615328","31.066666666666666","5.265822717191387","500","0"
"1","0","0","0","2.5","0","1000","3.3","1.3940349110884325","0.012222222222222223","0.00598351645237167","63.9","7.634788798650556","1000","0"
"1","0","0","0","2.5","0","1500","5.166666666666667","1.674979270186815","0.019444444444444448","0.007243558228002943","95.63333333333334","10.615973289759584","1500","0"
"1","0","0","0","2.5","0","2000","6.8","2.181742422927143","0.025138888888888895","0.010176869500956871","128","12.277350419912812","2000","0"
"1","0","0","0","2.5","0","2500","8.8","2.4000000000000004","0.03236111111111111","0.013806002675522821","160.6","14.101063789657855","2500","0"
"1","0","0","0","2.5","0","3000","10.8","2.891366458960192","0.03875","0.014399636698091972","192.7","15.295206220686707","3000","0"
"1","0","0","0","2.5","0","3500","12.833333333333334","2.8176033945338874","0.044166666666666674","0.0146565621758588","224.63333333333333","15.045449662790261","3500","0"
"1","0","0","0","2.5","0","4000","14.633333333333333","3.371283962462307","0.05055555555555557","0.01605594001846492","255.56666666666666","15.589918394768958","4000","0"
"1","0","0","0","2.5","0","4500","16.3","3.848376280978772","0.05625","0.016553434800780885","289.06666666666666","16.64919083786223","4500","0"
"1","0","0","0","2.5","0","5000","18.2","4.052982440952177","0.06180555555555556","0.019486561529600693","318.73333333333335","16.65119281679911","5000","0"
"1","0","0","0","2.5","0","5500","19.966666666666665","4.729223567939621","0.06708333333333334","0.021036509268940563","350.5","17.36423527445613","5500","0"
"1","0","0","0","2.5","0","6000","22.433333333333334","4.8900124971437675","0.07402777777777778","0.021775456934157732","383.1","18.781817448443768","6000","0"
"1","0","0","0","2.5","0","6500","23.966666666666665","4.956365155590894","0.08013888888888888","0.023488653026251936","414.6","20.550101378500948","6500","0"
"1","0","0","0","2.5","0","7000","26.1","5.048762224545736","0.08666666666666667","0.025353975508272356","445.56666666666666","22.54134472967889","7000","0"
"1","0","0","0","2.5","0","7500","28","5.633234713140696","0.09263888888888891","0.025015812900278267","475.43333333333334","23.722961216696547","7500","0"
"1","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","5","0","500","2.6","1.451436070471816","0.007916666666666667","0.004481184945806023","66.36666666666666","7.696247281774555","500","0"
"1","0","0","0","5","0","1000","6.066666666666666","1.8427033281447003","0.02055555555555556","0.00873565844084244","129.9","11.139569111954017","1000","0"
"1","0","0","0","5","0","1500","9.8","2.8798148088606905","0.03430555555555555","0.012850787793500452","197.5","12.732504336016017","1500","0"
"1","0","0","0","5","0","2000","13.4","3.0940803695659445","0.0463888888888889","0.013425606637327302","262.3333333333333","15.014067477609867","2000","0"
"1","0","0","0","5","0","2500","16.333333333333332","2.9589788028229527","0.061111111111111116","0.016538861829560218","327.1333333333333","17.78151349638782","2500","0"
"1","0","0","0","5","0","3000","20.433333333333334","3.9300834031297045","0.07361111111111111","0.017089542683635585","395.1","19.550532814563734","3000","0"
"1","0","0","0","5","0","3500","23.9","4.369210454990695","0.08527777777777779","0.01881111439259668","458.43333333333334","20.98997115026338","3500","0"
"1","0","0","0","5","0","4000","27.333333333333332","4.189935029992179","0.09833333333333333","0.021370843758798178","524.2333333333333","21.842898668039055","4000","0"
"1","0","0","0","5","0","4500","31.466666666666665","4.5294100670568085","0.11152777777777777","0.023141156351486645","592","25.147564494399848","4500","0"
"1","0","0","0","5","0","5000","34.7","4.747982027486343","0.12430555555555554","0.024955593276908265","655.8333333333334","25.902488082979378","5000","0"
"1","0","0","0","5","0","5500","38.266666666666666","5.10511725842044","0.13944444444444445","0.026258449551325495","718.4","26.781336785156935","5500","0"
"1","0","0","0","5","0","6000","41.63333333333333","4.8199815582865275","0.1520833333333333","0.026543770630022764","783.3333333333334","27.626476833324624","6000","0"
"1","0","0","0","5","0","6500","45","5.5256975426938935","0.16333333333333336","0.026839716287069253","847.6666666666666","28.917507192395096","6500","0"
"1","0","0","0","5","0","7000","49.266666666666666","5.824850975680742","0.17763888888888885","0.027773958070710415","915.2333333333333","29.044429567283444","7000","0"
"1","0","0","0","5","0","7500","52.833333333333336","6.1214558907356516","0.1915277777777777","0.027794786459352187","980.1666666666666","30.747447951912296","7500","0"
"1","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0.5","0","0","500","0","0","0","0","0","0","500","0"
"1","0","0","0.5","0","0","1000","0","0","0","0","0","0","1000","0"
"1","0","0","0.5","0","0","1500","0","0","0","0","0","0","1500","0"
"1","0","0","0.5","0","0","2000","0","0","0","0","0","0","2000","0"
"1","0","0","0.5","0","0","2500","0","0","0","0","0","0","2500","0"
"1","0","0","0.5","0","0","3000","0","0","0","0","0","0","3000","0"
"1","0","0","0.5","0","0","3500","0","0","0","0","0","0","3500","0"
"1","0","0","0.5","0","0","4000","0","0","0","0","0","0","4000","0"
"1","0","0","0.5","0","0","4500","0","0","0","0","0","0","4500","0"
"1","0","0","0.5","0","0","5000","0","0","0","0","0","0","5000","0"
"1","0","0","0.5","0","0","5500","0","0","0","0","0","0","5500","0"
"1","0","0","0.5","0","0","6000","0","0","0","0","0","0","6000","0"
"1","0","0","0.5","0","0","6500","0","0","0","0","0","0","6500","0"
"1","0","0","0.5","0","0","7000","0","0","0","0","0","0","7000","0"
"1","0","0","0.5","0","0","7500","0","0","0","0","0","0","7500","0"
"1","0","0","0.5","2.5","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0.5","2.5","0","500","1.3333333333333333","1.4452988925785868","0.0029166666666666664","0.0035923658767715453","31.7","6.2136945531623935","500","0"
"1","0","0","0.5","2.5","0","1000","3.1333333333333333","1.9102065042525875","0.009722222222222226","0.007243558228002944","63.7","8.246817568007673","1000","0"
"1","0","0","0.5","2.5","0","1500","4.633333333333334","2.0893911925619757","0.017083333333333336","0.008562812578776863","95.96666666666667","11.70892347267198","1500","0"
"1","0","0","0.5","2.5","0","2000","6","2.2949219304078006","0.022777777777777786","0.00911178859269818","127.43333333333334","13.759077811474947","2000","0"
"1","0","0","0.5","2.5","0","2500","7.966666666666667","2.442448680229649","0.02875","0.010669162034504796","160","14.749011266296238","2500","0"
"1","0","0","0.5","2.5","0","3000","9.9","3.003886371574886","0.03416666666666666","0.011044941862261692","192.3","15.989892640873691","3000","0"
"1","0","0","0.5","2.5","0","3500","11.7","3.5133080327994772","0.04041666666666666","0.011544499251286863","224.3","17.635475610257863","3500","0"
"1","0","0","0.5","2.5","0","4000","13.433333333333334","3.6026225015797713","0.046805555555555566","0.012108849177153944","256.3666666666667","19.97245325163859","4000","0"
"1","0","0","0.5","2.5","0","4500","15.3","3.680126809409335","0.05291666666666668","0.013050383136138186","286.5","21.244214898806373","4500","0"
"1","0","0","0.5","2.5","0","5000","17.033333333333335","3.763715658170202","0.06041666666666667","0.014016772360547465","319.8666666666667","22.019284477223344","5000","0"
"1","0","0","0.5","2.5","0","5500","19.166666666666668","3.8391260579575768","0.06569444444444444","0.013931185595589682","350.8333333333333","23.541570796264967","5500","0"
"1","0","0","0.5","2.5","0","6000","21.133333333333333","3.9474323581566564","0.07166666666666667","0.01564212025033454","385.03333333333336","23.652319594961973","6000","0"
"1","0","0","0.5","2.5","0","6500","23.1","4.27668095606862","0.07833333333333334","0.016887426837300736","416.6","26.196182928052707","6500","0"
"1","0","0","0.5","2.5","0","7000","25","4.711687595755898","0.0840277777777778","0.018636487674438717","449.43333333333334","26.88082753355798","7000","0"
"1","0","0","0.5","2.5","0","7500","27.3","5.164945950023743","0.09111111111111111","0.019206882125625036","483.6666666666667","27.74567033290459","7500","0"
"1","0","0","0.5","5","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0.5","5","0","500","2.6666666666666665","1.4681810363696832","0.006250000000000002","0.004532546908911312","65.66666666666667","7.11024300256718","500","0"
"1","0","0","0.5","5","0","1000","6.133333333333334","1.8749814813900314","0.018333333333333333","0.009477067838462212","133.16666666666666","9.73339041079155","1000","0"
"1","0","0","0.5","5","0","1500","9.733333333333333","2.5940101944458296","0.03125000000000001","0.0120641610351272","200.06666666666666","13.596404753545043","1500","0"
"1","0","0","0.5","5","0","2000","13.7","3.465544690232691","0.043888888888888894","0.015431049347034612","267.3666666666667","13.467202959618435","2000","0"
"1","0","0","0.5","5","0","2500","17.766666666666666","3.5933580704157806","0.057916666666666665","0.01632815961142885","331.8","18.687607301810115","2500","0"
"1","0","0","0.5","5","0","3000","21.933333333333334","3.9827405416650254","0.07152777777777777","0.017908051330871703","398.6333333333333","21.80135062075029","3000","0"
"1","0","0","0.5","5","0","3500","25.833333333333332","4.405173725922231","0.08236111111111111","0.018530609478760295","464.8666666666667","25.600434024098544","3500","0"
"1","0","0","0.5","5","0","4000","29.5","4.72405193310432","0.09458333333333332","0.01794248785342686","531.1333333333333","27.826526113684324","4000","0"
"1","0","0","0.5","5","0","4500","33.43333333333333","4.793630032542029","0.11027777777777774","0.01720429174133558","596.5666666666667","28.928282969363313","4500","0"
"1","0","0","0.5","5","0","5000","37.06666666666667","5.495048275998633","0.12402777777777778","0.01865510968297829","659.6","27.56156744454132","5000","0"
"1","0","0","0.5","5","0","5500","40.46666666666667","5.542161632030914","0.13791666666666666","0.020223004411002023","727.5","29.80128632570525","5500","0"
"1","0","0","0.5","5","0","6000","43.166666666666664","5.520165053893065","0.1498611111111111","0.022681452829771194","793.9","30.3900751342715","6000","0"
"1","0","0","0.5","5","0","6500","46.8","5.5641710972974225","0.16416666666666666","0.021746647251166477","860.3333333333334","33.71086208067398","6500","0"
"1","0","0","0.5","5","0","7000","49.9","6.331666447310693","0.17722222222222225","0.021374454003567377","926.3","33.95600094239603","7000","0"
"1","0","0","0.5","5","0","7500","53.833333333333336","6.598400479577524","0.19180555555555562","0.023874753569925935","992.2333333333333","36.54466065271672","7500","0"
"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","0","0","500","0","0","0","0","0","0","500","0"
"1","0","0","1","0","0","1000","0","0","0","0","0","0","1000","0"
"1","0","0","1","0","0","1500","0","0","0","0","0","0","1500","0"
"1","0","0","1","0","0","2000","0","0","0","0","0","0","2000","0"
"1","0","0","1","0","0","2500","0","0","0","0","0","0","2500","0"
"1","0","0","1","0","0","3000","0","0","0","0","0","0","3000","0"
"1","0","0","1","0","0","3500","0","0","0","0","0","0","3500","0"
"1","0","0","1","0","0","4000","0","0","0","0","0","0","4000","0"
"1","0","0","1","0","0","4500","0","0","0","0","0","0","4500","0"
"1","0","0","1","0","0","5000","0","0","0","0","0","0","5000","0"
"1","0","0","1","0","0","5500","0","0","0","0","0","0","5500","0"
"1","0","0","1","0","0","6000","0","0","0","0","0","0","6000","0"
"1","0","0","1","0","0","6500","0","0","0","0","0","0","6500","0"
"1","0","0","1","0","0","7000","0","0","0","0","0","0","7000","0"
"1","0","0","1","0","0","7500","0","0","0","0","0","0","7500","0"
"1","0","0","1","2.5","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","2.5","0","500","1.1666666666666667","0.9339283817414601","0.003611111111111111","0.0042673031932603375","32.03333333333333","5.528612443964176","500","0"
"1","0","0","1","2.5","0","1000","3.5","1.52206000757745","0.008888888888888892","0.0054574674178856945","64.33333333333333","8.915654148119975","1000","0"
