[run number],bin-placement,laziness-factor,litter-sensitivity-factor,group-litter-factor,arrival-rate,initial-litter,[step],total-litter-events,bin-utilization-rate,total-agents-spawned,ticks
31,1,0.0,0.0,0.0,2.5,0,7500,18,0.07916666667,402,7500
32,1,0.0,0.0,0.0,2.5,0,7500,36,0.1041666667,512,7500
33,1,0.0,0.0,0.0,2.5,0,7500,27,0.07083333333,480,7500
34,1,0.0,0.0,0.0,2.5,0,7500,27,0.075,466,7500
35,1,0.0,0.0,0.0,2.5,0,7500,25,0.09166666667,496,7500
36,1,0.0,0.0,0.0,2.5,0,7500,26,0.1,478,7500
37,1,0.0,0.0,0.0,2.5,0,7500,26,0.0625,487,7500
38,1,0.0,0.0,0.0,2.5,0,7500,29,0.04166666667,458,7500
39,1,0.0,0.0,0.0,2.5,0,7500,16,0.09583333333,462,7500
40,1,0.0,0.0,0.0,2.5,0,7500,24,0.1375,454,7500
41,1,0.0,0.0,0.0,2.5,0,7500,35,0.07083333333,475,7500
42,1,0.0,0.0,0.0,2.5,0,7500,32,0.05,441,7500
43,1,0.0,0.0,0.0,2.5,0,7500,28,0.125,462,7500
44,1,0.0,0.0,0.0,2.5,0,7500,33,0.09583333333,475,7500
45,1,0.0,0.0,0.0,2.5,0,7500,22,0.1291666667,515,7500
46,1,0.0,0.0,0.0,2.5,0,7500,33,0.075,506,7500
47,1,0.0,0.0,0.0,2.5,0,7500,14,0.08333333333,459,7500
48,1,0.0,0.0,0.0,2.5,0,7500,32,0.1,477,7500
49,1,0.0,0.0,0.0,2.5,0,7500,37,0.1083333333,504,7500
50,1,0.0,0.0,0.0,2.5,0,7500,30,0.05416666667,491,7500
51,1,0.0,0.0,0.0,2.5,0,7500,31,0.09166666667,462,7500
52,1,0.0,0.0,0.0,2.5,0,7500,35,0.0875,452,7500
53,1,0.0,0.0,0.0,2.5,0,7500,30,0.07083333333,465,7500
54,1,0.0,0.0,0.0,2.5,0,7500,30,0.1083333333,500,7500
55,1,0.0,0.0,0.0,2.5,0,7500,30,0.1,475,7500
56,1,0.0,0.0,0.0,2.5,0,7500,33,0.09583333333,481,7500
57,1,0.0,0.0,0.0,2.5,0,7500,30,0.1083333333,476,7500
58,1,0.0,0.0,0.0,2.5,0,7500,22,0.1458333333,503,7500
59,1,0.0,0.0,0.0,2.5,0,7500,25,0.1291666667,451,7500
60,1,0.0,0.0,0.0,2.5,0,7500,24,0.09166666667,498,7500
61,1,0.0,0.0,0.0,5.0,0,7500,54,0.1625,927,7500
62,1,0.0,0.0,0.0,5.0,0,7500,53,0.2208333333,973,7500
63,1,0.0,0.0,0.0,5.0,0,7500,60,0.2,1041,7500
64,1,0.0,0.0,0.0,5.0,0,7500,47,0.2,1015,7500
65,1,0.0,0.0,0.0,5.0,0,7500,68,0.175,983,7500
66,1,0.0,0.0,0.0,5.0,0,7500,47,0.1791666667,992,7500
67,1,0.0,0.0,0.0,5.0,0,7500,56,0.175,1031,7500
68,1,0.0,0.0,0.0,5.0,0,7500,54,0.2041666667,991,7500
69,1,0.0,0.0,0.0,5.0,0,7500,49,0.2041666667,996,7500
70,1,0.0,0.0,0.0,5.0,0,7500,50,0.1875,980,7500
71,1,0.0,0.0,0.0,5.0,0,7500,56,0.1083333333,955,7500
72,1,0.0,0.0,0.0,5.0,0,7500,56,0.175,986,7500
73,1,0.0,0.0,0.0,5.0,0,7500,49,0.1666666667,1045,7500
74,1,0.0,0.0,0.0,5.0,0,7500,60,0.2083333333,982,7500
75,1,0.0,0.0,0.0,5.0,0,7500,51,0.1875,953,7500
76,1,0.0,0.0,0.0,5.0,0,7500,46,0.2041666667,961,7500
77,1,0.0,0.0,0.0,5.0,0,7500,56,0.1916666667,940,7500
78,1,0.0,0.0,0.0,5.0,0,7500,60,0.2041666667,989,7500
79,1,0.0,0.0,0.0,5.0,0,7500,58,0.2541666667,956,7500
80,1,0.0,0.0,0.0,5.0,0,7500,52,0.1666666667,972,7500
81,1,0.0,0.0,0.0,5.0,0,7500,42,0.2125,931,7500
82,1,0.0,0.0,0.0,5.0,0,7500,41,0.1625,962,7500
83,1,0.0,0.0,0.0,5.0,0,7500,49,0.1875,956,7500
84,1,0.0,0.0,0.0,5.0,0,7500,49,0.2333333333,955,7500
85,1,0.0,0.0,0.0,5.0,0,7500,62,0.175,983,7500
86,1,0.0,0.0,0.0,5.0,0,7500,55,0.1916666667,1043,7500
87,1,0.0,0.0,0.0,5.0,0,7500,56,0.1666666667,969,7500
88,1,0.0,0.0,0.0,5.0,0,7500,49,0.225,1005,7500
89,1,0.0,0.0,0.0,5.0,0,7500,43,0.2375,959,7500
90,1,0.0,0.0,0.0,5.0,0,7500,57,0.1791666667,974,7500
121,1,0.0,0.0,0.5,2.5,0,7500,40,0.0625,498,7500
122,1,0.0,0.0,0.5,2.5,0,7500,28,0.08333333333,475,7500
123,1,0.0,0.0,0.5,2.5,0,7500,21,0.07083333333,487,7500
124,1,0.0,0.0,0.5,2.5,0,7500,26,0.06666666667,505,7500
125,1,0.0,0.0,0.5,2.5,0,7500,23,0.07916666667,475,7500
126,1,0.0,0.0,0.5,2.5,0,7500,22,0.1,494,7500
127,1,0.0,0.0,0.5,2.5,0,7500,33,0.06666666667,480,7500
128,1,0.0,0.0,0.5,2.5,0,7500,23,0.1041666667,455,7500
129,1,0.0,0.0,0.5,2.5,0,7500,24,0.075,466,7500
130,1,0.0,0.0,0.5,2.5,0,7500,28,0.1083333333,532,7500
131,1,0.0,0.0,0.5,2.5,0,7500,29,0.09583333333,476,7500
132,1,0.0,0.0,0.5,2.5,0,7500,34,0.1041666667,499,7500
133,1,0.0,0.0,0.5,2.5,0,7500,18,0.07916666667,462,7500
134,1,0.0,0.0,0.5,2.5,0,7500,31,0.1,544,7500
135,1,0.0,0.0,0.5,2.5,0,7500,29,0.1041666667,489,7500
